City_ID,City,Country,Max Temperature,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,71.1,clear sky,-33.65,115.3333,Observatory Guest House
2,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
3,Vaini,TO,82.18,overcast clouds,-21.2,-175.2,Keleti Beach Resort
5,Bengkulu,ID,79.43,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
6,San-Pédro,CI,86.88,clear sky,4.7485,-6.6363,Hotel Maria
10,Paita,PE,73.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
12,Rikitea,PF,77.52,overcast clouds,-23.1203,-134.9692,People ThankYou
17,Cabedelo,BR,84.87,broken clouds,-6.9811,-34.8339,Hotel Pigalle
20,Namatanai,PG,79.47,light rain,-3.6667,152.4333,Seagulls Inn Namatani
21,Morón,AR,71.92,clear sky,-34.6534,-58.6198,Hotel Morón
27,Arraial do Cabo,BR,85.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Cayenne,GF,78.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
29,Hermanus,ZA,80.91,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
33,Bredasdorp,ZA,73.27,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
34,Carupano,VE,78.8,clear sky,10.6678,-63.2585,Hotel La dorada
36,Atuona,PF,77.14,clear sky,-9.8,-139.0333,Villa Enata
39,Chui,UY,73.54,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
41,Port Alfred,ZA,74.26,few clouds,-33.5906,26.891,The Halyards Hotel
42,Butaritari,KI,81.97,few clouds,3.0707,172.7902,Isles Sunset Lodge
43,Kapaa,US,71.13,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Mahébourg,MU,84.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
45,Saint-Philippe,RE,81.95,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
46,Wesselsbron,ZA,83.68,broken clouds,-27.8549,26.3658,Wesselsbron Lodge
48,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
55,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
57,Hoima,UG,89.28,overcast clouds,1.4356,31.3436,Tik Hotel
