,City,Country,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,71.1,66,10000,17.76,clear sky
1,Saint Paul Harbor,US,57.79,-152.4072,30.06,89,4760,10.18,overcast clouds
2,Carnarvon,AU,-24.8667,113.6333,77.07,83,10000,5.75,clear sky
3,Vaini,TO,-21.2,-175.2,82.18,80,10000,20.13,overcast clouds
4,Saldanha,ZA,-33.0117,17.9442,68.16,70,10000,24.02,clear sky
5,Bengkulu,ID,-3.8004,102.2655,79.43,76,10000,2.93,broken clouds
6,San-Pédro,CI,4.7485,-6.6363,86.88,56,10000,9.86,clear sky
7,Romanovka,RU,51.7443,42.7527,8.98,96,10000,7.29,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,-5.21,77,10000,9.37,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,55.02,76,10000,8.05,broken clouds
10,Paita,PE,-5.0892,-81.1144,73.96,78,10000,6.49,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,64.65,69,10000,1.14,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,77.52,76,10000,16.73,overcast clouds
13,Yarim,YE,14.298,44.3779,62.46,35,10000,4.18,overcast clouds
14,Aklavik,CA,68.2191,-135.0107,-19.37,94,10000,3.44,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,53.62,87,10000,4.61,clear sky
16,Fairbanks,US,64.8378,-147.7164,3.2,77,9656,9.22,light snow
17,Cabedelo,BR,-6.9811,-34.8339,84.87,64,10000,6.98,broken clouds
18,Lüderitz,NA,-26.6481,15.1594,77.04,49,10000,33.78,clear sky
19,Tiksi,RU,71.6872,128.8694,-3.84,97,10000,7.7,overcast clouds
20,Namatanai,PG,-3.6667,152.4333,79.47,83,10000,2.66,light rain
21,Morón,AR,-34.6534,-58.6198,71.92,59,10000,5.41,clear sky
22,Saint George,US,37.1041,-113.5841,37.87,52,10000,3.87,clear sky
23,Adzhamka,UA,48.5424,32.5354,33.64,90,10000,12.64,overcast clouds
24,Albany,US,42.6001,-73.9662,27.81,65,10000,2.04,overcast clouds
25,Taveta,KE,-3.3963,37.6736,96.39,35,10000,10.94,overcast clouds
26,Nanortalik,GL,60.1432,-45.2371,16.09,74,10000,6.53,broken clouds
27,Arraial do Cabo,BR,-22.9661,-42.0278,85.96,70,10000,11.5,scattered clouds
28,Cayenne,GF,4.9333,-52.3333,78.84,78,10000,8.05,overcast clouds
29,Hermanus,ZA,-34.4187,19.2345,80.91,62,10000,14.85,clear sky
30,Hanyang,CN,32.1371,105.5126,38.34,64,10000,1.59,overcast clouds
31,Chokurdakh,RU,70.6333,147.9167,-31.25,94,10000,5.82,scattered clouds
32,Ongandjera,NA,-17.8833,15.0667,95.16,21,10000,8.43,scattered clouds
33,Bredasdorp,ZA,-34.5322,20.0403,73.27,46,10000,14.36,few clouds
34,Carupano,VE,10.6678,-63.2585,78.8,69,10000,5.53,clear sky
35,Cherskiy,RU,68.75,161.3,-19.68,94,10000,2.48,overcast clouds
36,Atuona,PF,-9.8,-139.0333,77.14,74,10000,14.92,clear sky
37,Tuktoyaktuk,CA,69.4541,-133.0374,-22.68,100,10000,9.33,scattered clouds
38,Nybro,SE,56.7446,15.9071,39.24,48,10000,11.79,clear sky
39,Chui,UY,-33.6971,-53.4616,73.54,52,10000,8.61,scattered clouds
40,Thompson,CA,55.7435,-97.8558,-18.24,76,10000,4.61,clear sky
41,Port Alfred,ZA,-33.5906,26.891,74.26,64,10000,21.72,few clouds
42,Butaritari,KI,3.0707,172.7902,81.97,79,10000,18.39,few clouds
43,Kapaa,US,22.0752,-159.319,71.13,74,10000,2.55,few clouds
44,Mahébourg,MU,-20.4081,57.7,84.49,61,10000,9.22,scattered clouds
45,Saint-Philippe,RE,-21.3585,55.7679,81.95,79,10000,10.56,broken clouds
46,Wesselsbron,ZA,-27.8549,26.3658,83.68,31,10000,3.69,broken clouds
47,Srednekolymsk,RU,67.45,153.6833,-20.72,96,10000,5.23,overcast clouds
48,Avarua,CK,-21.2078,-159.775,78.85,89,10000,11.5,broken clouds
49,Mataura,NZ,-46.1927,168.8643,50.49,87,10000,1.45,scattered clouds
50,Grandview,US,38.8858,-94.533,19.94,50,10000,1.99,clear sky
51,Talnakh,RU,69.4865,88.3972,6.21,82,10000,15.43,overcast clouds
52,Yellowknife,CA,62.456,-114.3525,1.42,89,2414,10.36,light snow
53,Ostrovnoy,RU,68.0531,39.5131,8.26,96,10000,8.66,overcast clouds
54,Xanten,DE,51.6667,6.45,48.6,67,10000,8.19,overcast clouds
55,Marrakesh,MA,31.6315,-8.0083,73.47,27,10000,5.75,clear sky
56,Sitka,US,57.0531,-135.33,44.49,76,10000,16.11,overcast clouds
57,Hoima,UG,1.4356,31.3436,89.28,18,10000,6.44,overcast clouds
58,Hithadhoo,MV,-0.6,73.0833,81.23,62,10000,7.81,overcast clouds
59,East London,ZA,-33.0153,27.9116,76.14,57,10000,25.32,clear sky
60,Bambous Virieux,MU,-20.3428,57.7575,84.45,61,10000,9.22,scattered clouds
61,Lavrentiya,RU,65.5833,-171.0,-11.45,99,10000,3.65,clear sky
62,Hasaki,JP,35.7333,140.8333,36.0,55,10000,12.55,overcast clouds
63,Marsh Harbour,BS,26.5412,-77.0636,73.51,74,10000,8.59,overcast clouds
64,Nizhnyaya Omka,RU,55.4338,74.9426,-2.34,99,10000,4.07,overcast clouds
65,Okhotsk,RU,59.3833,143.3,7.45,78,10000,18.95,overcast clouds
66,Oranjemund,NA,-28.55,16.4333,69.78,71,10000,23.33,clear sky
67,George Town,MY,5.4112,100.3354,85.89,78,7000,5.01,few clouds
68,Río Gallegos,AR,-51.6226,-69.2181,60.85,63,10000,8.05,clear sky
69,Manali,IN,13.1667,80.2667,80.69,78,10000,11.83,broken clouds
70,Koslan,RU,63.4564,48.8989,8.6,95,8037,7.4,overcast clouds
71,Pingliang,CN,35.5392,106.6861,14.7,90,10000,5.75,scattered clouds
72,Zyryanovsk,KZ,49.7386,84.2719,-16.28,100,10000,2.33,few clouds
73,Tautira,PF,-17.7333,-149.15,77.02,75,10000,14.2,broken clouds
74,Qaanaaq,GL,77.484,-69.3632,-8.88,69,10000,9.35,overcast clouds
75,Mahon,ES,39.8885,4.2658,61.36,48,10000,8.05,clear sky
76,San Patricio,US,28.017,-97.5169,49.87,75,10000,19.57,moderate rain
77,Belmonte,BR,-15.8631,-38.8828,82.9,63,10000,5.84,broken clouds
78,Castro,BR,-24.7911,-50.0119,63.75,98,7816,5.86,overcast clouds
79,Longyearbyen,SJ,78.2186,15.6401,13.84,62,10000,11.5,scattered clouds
80,Riyadh,SA,24.6877,46.7219,59.14,24,10000,11.39,clear sky
81,Zhangaözen,KZ,43.3,52.8,32.95,57,10000,14.72,clear sky
82,Ribeira Grande,PT,38.5167,-28.7,63.0,55,10000,16.11,few clouds
83,Cape Town,ZA,-33.9258,18.4232,78.12,44,10000,25.32,clear sky
84,Mikhaylovka,RU,50.06,43.2379,11.7,98,8439,4.85,scattered clouds
85,Touros,BR,-5.1989,-35.4608,83.3,61,10000,7.07,broken clouds
86,Hobart,AU,-42.8794,147.3294,65.01,81,10000,10.36,overcast clouds
87,Dawei,MM,14.0833,98.2,73.0,78,10000,3.53,clear sky
88,Los Llanos de Aridane,ES,28.6585,-17.9182,62.35,75,10000,5.99,few clouds
