City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gayny,RU,2022-01-25 10:00:16,60.3071,54.3241,18.27,83,96,10.71
1,Avarua,CK,2022-01-25 09:58:18,-21.2078,-159.775,75.25,100,20,1.14
2,Nichinan,JP,2022-01-25 10:00:18,31.6,131.3667,46.76,83,96,7.36
3,Vaini,TO,2022-01-25 10:00:19,-21.2,-175.2,80.73,74,16,17.52
4,Codrington,AU,2022-01-25 10:00:20,-38.2667,141.9667,73.94,57,97,9.82
5,Moissala,TD,2022-01-25 10:00:21,8.3404,17.7663,92.26,10,34,7.36
6,Weihai,CN,2022-01-25 10:00:22,37.5017,122.1136,36.46,74,100,15.75
7,Airai,TL,2022-01-25 10:00:23,-8.9266,125.4092,65.21,86,90,3.31
8,Port Elizabeth,ZA,2022-01-25 09:58:38,-33.918,25.5701,74.1,78,75,13.8
9,Georgetown,MY,2022-01-25 10:00:24,5.4112,100.3354,85.95,74,20,8.05
10,Bluff,NZ,2022-01-25 10:00:24,-46.6,168.3333,58.8,80,39,12.5
11,Albany,US,2022-01-25 09:57:07,42.6001,-73.9662,30.78,85,99,2.91
12,Tiksi,RU,2022-01-25 10:00:25,71.6872,128.8694,-6.93,97,100,10.71
13,Punta Arenas,CL,2022-01-25 10:00:25,-53.15,-70.9167,44.11,70,84,23.15
14,Antananarivo,MG,2022-01-25 09:59:44,-18.9137,47.5361,66.16,94,75,6.91
15,Tasiilaq,GL,2022-01-25 10:00:26,65.6145,-37.6368,23.16,92,100,1.74
16,Hobart,AU,2022-01-25 09:56:40,-42.8794,147.3294,63.1,79,75,13.8
17,Sehithwa,BW,2022-01-25 10:00:26,-20.4667,22.7167,84.83,39,90,6.29
18,Ponta Do Sol,PT,2022-01-25 10:00:27,32.6667,-17.1,61.43,63,14,7.65
19,Castro,BR,2022-01-25 10:00:27,-24.7911,-50.0119,63.1,95,77,3.4
20,Mufulira,ZM,2022-01-25 10:00:28,-12.5498,28.2407,74.44,70,100,4.03
21,Mataura,NZ,2022-01-25 10:00:29,-46.1927,168.8643,58.48,98,75,1.48
22,Yellowknife,CA,2022-01-25 09:55:50,62.456,-114.3525,0.41,88,100,19.57
23,Maibong,IN,2022-01-25 10:00:29,25.3,93.1667,65.55,83,14,0.58
24,Kierspe,DE,2022-01-25 10:00:30,51.1333,7.5833,37.26,75,0,0.87
25,Mucuri,BR,2022-01-25 10:00:30,-18.0864,-39.5508,74.62,87,100,3.44
26,Sibolga,ID,2022-01-25 10:00:30,1.7427,98.7792,81.28,83,74,3.42
27,Mehamn,NO,2022-01-25 10:00:31,71.0357,27.8492,30.11,78,100,35.75
28,East London,ZA,2022-01-25 09:58:42,-33.0153,27.9116,76.14,78,20,12.66
29,Rikitea,PF,2022-01-25 10:00:31,-23.1203,-134.9692,78.06,75,100,17.69
30,Sur,OM,2022-01-25 10:00:32,22.5667,59.5289,72.63,54,0,12.75
31,Hlotse,LS,2022-01-25 10:00:32,-28.8718,28.045,82.24,29,8,3.8
32,Samarai,PG,2022-01-25 10:00:33,-10.6167,150.6667,84.4,74,100,5.7
33,Saskylakh,RU,2022-01-25 10:00:34,71.9167,114.0833,10.72,90,100,15.73
34,Gat,IL,2022-01-25 10:00:34,31.61,34.7642,58.41,43,0,10.94
35,Ukiah,US,2022-01-25 10:00:35,39.1502,-123.2078,49.37,90,0,2.44
36,Prince Rupert,CA,2022-01-25 09:58:50,54.3161,-130.3201,44.29,88,100,6.91
37,Outlook,CA,2022-01-25 10:00:35,51.5001,-107.0513,-23.21,98,6,2.89
38,Ahipara,NZ,2022-01-25 10:00:36,-35.1667,173.1667,65.89,92,48,5.86
39,Sakakah,SA,2022-01-25 10:00:07,29.9697,40.2064,57.74,28,0,14.88
40,Ushuaia,AR,2022-01-25 10:00:36,-54.8,-68.3,39.9,98,100,4.5
41,Sumbe,AO,2022-01-25 10:00:37,-11.2061,13.8437,82.0,71,74,7.58
42,Carnarvon,AU,2022-01-25 10:00:37,-24.8667,113.6333,78.93,64,0,29.64
43,Lasem,ID,2022-01-25 10:00:37,-6.6922,111.4527,82.17,84,89,14.74
44,Qaanaaq,GL,2022-01-25 10:00:38,77.484,-69.3632,-12.64,58,0,8.68
45,Tuktoyaktuk,CA,2022-01-25 10:00:38,69.4541,-133.0374,20.77,88,97,11.39
46,Butaritari,KI,2022-01-25 10:01:39,3.0707,172.7902,81.82,79,53,16.91
47,Cape Town,ZA,2022-01-25 09:58:43,-33.9258,18.4232,82.11,56,20,5.99
48,Puerto Ayora,EC,2022-01-25 10:01:39,-0.7393,-90.3518,72.88,92,98,8.23
49,Hilo,US,2022-01-25 10:00:14,19.7297,-155.09,69.8,91,64,3.0
